                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1794,                 4.1359,                 4.0835,                  9e-05,                0.03158,                0.01255,                0.00627,                 2.9502,                 5.4773,                 4.1205,             0.00054889,             0.00054889,             0.00054889
                      2,                   2.94,                 3.4621,                 3.4491,                0.51564,                0.02632,                0.00605,                0.00203,                 2.5198,                  4.348,                 3.5502,              0.0010499,              0.0010499,              0.0010499
                      3,                 2.4858,                  2.815,                  2.935,                0.15674,                0.18844,                0.11854,                0.03411,                 2.4041,                 3.4601,                 2.9346,              0.0014959,              0.0014959,              0.0014959
                      4,                 2.1265,                 2.2788,                 2.5742,                0.53654,                 0.5872,                0.57936,                0.23635,                 2.0806,                 2.3373,                 2.5275,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.9595,                 1.9794,                 2.3527,                 0.6408,                0.38415,                0.48933,                0.20839,                  2.079,                 2.1881,                 2.3459,              0.0014195,              0.0014195,              0.0014195
                      6,                 1.7761,                 1.7121,                 2.1531,                 0.6287,                0.66861,                0.70844,                0.33382,                 1.8742,                 1.7713,                  2.126,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.6773,                 1.5456,                  2.024,                0.77561,                0.67761,                0.80564,                0.41475,                 1.6548,                 1.5916,                 1.9233,              0.0012544,              0.0012544,              0.0012544
                      8,                 1.5903,                 1.4253,                  1.952,                 0.8075,                0.67492,                0.80377,                0.42773,                 1.6592,                 1.5516,                 1.9316,              0.0011719,              0.0011719,              0.0011719
                      9,                 1.5497,                 1.3554,                 1.8864,                0.82141,                 0.7517,                0.80077,                 0.4298,                 1.6504,                 1.6935,                  1.927,              0.0010894,              0.0010894,              0.0010894
                     10,                 1.4952,                 1.2711,                 1.8291,                0.84705,                0.80689,                0.87653,                0.45711,                 1.6646,                 1.5137,                 1.8624,              0.0010069,              0.0010069,              0.0010069
                     11,                 1.3712,                 1.2435,                 1.7679,                 0.8068,                0.77564,                0.86925,                0.48842,                  1.568,                 1.4669,                 1.7741,             0.00092435,             0.00092435,             0.00092435
                     12,                 1.3253,                 1.1016,                 1.7235,                0.71135,                0.74741,                0.82218,                0.46649,                 1.5884,                 1.5958,                 1.7978,             0.00084184,             0.00084184,             0.00084184
                     13,                 1.2778,                 1.0442,                 1.6603,                 0.8473,                 0.7773,                0.88795,                0.53947,                 1.5155,                 1.2218,                  1.715,             0.00075932,             0.00075932,             0.00075932
                     14,                 1.2596,                0.98669,                 1.6486,                0.73554,                0.79309,                0.84173,                0.44515,                 1.6211,                 1.2916,                 1.7749,              0.0006768,              0.0006768,              0.0006768
                     15,                 1.2265,                0.93522,                 1.5994,                0.91967,                0.81859,                 0.9257,                0.54331,                 1.4806,                 1.0462,                  1.683,             0.00059429,             0.00059429,             0.00059429
                     16,                 1.1874,                0.89813,                 1.5614,                0.90481,                 0.8244,                0.91862,                0.53574,                 1.5035,                 1.0659,                 1.6991,             0.00051177,             0.00051177,             0.00051177
                     17,                 1.1739,                0.86314,                 1.5581,                0.83736,                0.87146,                0.92074,                0.54256,                 1.5324,                 1.0299,                 1.7001,             0.00042925,             0.00042925,             0.00042925
                     18,                  1.168,                0.83225,                 1.5176,                0.90734,                0.79168,                0.92085,                0.56899,                 1.4469,                0.97398,                 1.6181,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.1385,                0.80788,                 1.4899,                0.83622,                0.87957,                0.94082,                0.58317,                 1.3978,                 1.0986,                 1.5606,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.1355,                0.77974,                 1.4929,                 0.9308,                0.83072,                0.93497,                0.56929,                 1.4531,                0.96481,                 1.6152,              0.0001817,              0.0001817,              0.0001817
